,model,date,training_length,test_length,mae,msae,rho
14097,xgboost,255,5760,96,14.694113429387407,309.8982970572443,0.8553444622603382
14098,elastic_net,255,5760,96,14.787234287275696,306.25419075794167,0.7421823866781238
14099,naive_model,255,5760,96,15.114895833333334,293.206453125,0.881914276708397
14100,xgboost,255,5760,192,21.50953299681346,762.752533430068,0.7704310074418198
14101,elastic_net,255,5760,192,20.0491138041884,722.1117446064613,0.6569267573978556
14102,naive_model,255,5760,192,22.19046875,679.5398703124999,0.6528361420230846
14103,xgboost,255,5760,384,15.71119196931521,457.9892861353341,0.7349223889349488
14104,elastic_net,255,5760,384,15.713986772075984,467.449345513731,0.6842823312897335
14105,naive_model,255,5760,384,24.09484375,907.5500744791666,0.4806689932628238
14106,xgboost,255,5760,960,17.600432946681977,633.2376429425453,0.7621899700479859
14107,elastic_net,255,5760,960,17.070841485522646,558.454947418125,0.7125621958014502
14108,naive_model,255,5760,960,18.6075,631.7674827083334,0.6770734907615841
14109,xgboost,255,5760,2880,18.005869979275595,670.8333156416942,0.7490895504468992
14110,elastic_net,255,5760,2880,19.856336570907597,756.946900956498,0.7200962279907317
14111,naive_model,255,5760,2880,24.56884722222222,1380.3860230555554,0.5375431555591595
14112,xgboost,255,8640,96,6.640836591720581,70.77899926958096,0.9226397178513294
14113,elastic_net,255,8640,96,8.939923428240922,124.27479649138532,0.9159522517634292
14114,naive_model,255,8640,96,16.2603125,348.966221875,0.8472627755840079
14115,xgboost,255,8640,192,7.883112797737122,104.67194989149432,0.8377691914662448
14116,elastic_net,255,8640,192,14.051132308952086,296.4249092124589,0.7402988516173945
14117,naive_model,255,8640,192,15.900104166666669,355.3685072916667,0.5580503452826404
14118,xgboost,255,8640,384,7.270683337052663,86.94218651726828,0.7849396940657307
14119,elastic_net,255,8640,384,12.394462136750535,237.3871154831634,0.724911295677153
14120,naive_model,255,8640,384,12.719166666666666,249.7153875,0.5933835722758738
14121,xgboost,255,8640,960,11.086734587272009,225.6395891125662,0.7536302345394399
14122,elastic_net,255,8640,960,13.198387843983104,299.6164898826834,0.7572056199408532
14123,naive_model,255,8640,960,19.12671875,657.8274776041667,0.5116277194549229
14124,xgboost,256,2880,96,27.46273281097412,2408.279240854181,0.9177897299900296
14125,elastic_net,256,2880,96,27.05751833733615,2686.081220681342,0.8783874063649477
14126,naive_model,256,2880,96,19.418125,800.3421833333335,0.952234645402401
14127,xgboost,256,2880,192,25.83604198932648,1645.4018924703294,0.8231674286400277
14128,elastic_net,256,2880,192,23.957686452493817,1776.131071499454,0.7557643807516183
14129,naive_model,256,2880,192,24.402604166666663,1631.8723104166668,0.8260956550193538
14130,xgboost,256,2880,384,19.88043960253398,981.9587835358152,0.8212995574117824
14131,elastic_net,256,2880,384,18.930645286831396,1067.496753318498,0.7733017290109361
14132,naive_model,256,2880,384,23.219947916666666,1419.2140583333337,0.7118077497264079
14133,xgboost,256,2880,960,20.68015867392222,950.8173066788788,0.7704266159347134
14134,elastic_net,256,2880,960,18.97446455605859,891.3344785748603,0.835313636317208
14135,naive_model,256,2880,960,25.9305625,1585.8568081250005,0.6996581944561536
14136,xgboost,256,2880,2880,18.878490117619435,699.6515813488503,0.7475863275795736
14137,elastic_net,256,2880,2880,17.68908714221803,620.1901093598896,0.8072762265468862
14138,naive_model,256,2880,2880,22.76409375,1125.0126889930557,0.7180130580061951
14139,xgboost,256,5760,96,27.5670423968633,1148.7547479720768,0.7810060029279561
14140,elastic_net,256,5760,96,25.143577360056707,1119.4445230730846,0.6868151806023569
14141,naive_model,256,5760,96,29.266041666666663,1065.8732874999998,0.680157082992896
14142,xgboost,256,5760,192,19.50712993542353,679.0218999427894,0.7608404835218756
14143,elastic_net,256,5760,192,19.64810814080178,720.2606775767249,0.7288794959740519
14144,naive_model,256,5760,192,31.91984375,1430.6546994791668,0.5134370681842901
14145,xgboost,256,5760,384,14.929002639055254,424.53986963105376,0.7185667309198329
14146,elastic_net,256,5760,384,15.107669918712183,441.9199303004825,0.6978938047998547
